Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id,team_name
Jordan Silkowitz,us USA,25-072,90,5,0,5,100,0.9,2,9,14.3,21,2,44.4,34.3,20,0,0,0,,29,810cc4f5,29JordanSilkowitz810cc4f5,Bay FC
Bella Bixby,us USA,29-199,90,2,1,1,50,0.4,0,8,0,40,7,12.5,24.4,8,0,0,1,18.5,1,810cc4f5,1BellaBixby810cc4f5,Portland Thorns FC
