player,JerseyNumber,nation,Pos,age,min,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,arial_duels_won,arial_duels_lost,arial_duels_won_pct,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-241,66,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0.0,692f1ab8,66Reilyn Turner692f1ab8,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-077,24,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0.0,692f1ab8,19Pietra Tordin692f1ab8,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-262,45,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0.0,692f1ab8,7Caiya Hanks692f1ab8,Portland Thorns FC
Payton Linnehan,15,us USA,LW,24-082,45,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0.0,692f1ab8,15Payton Linnehan692f1ab8,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-271,66,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0.0,692f1ab8,13Olivia Moultrie692f1ab8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,RW,30-048,24,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0,692f1ab8,26Marie-Yasmine Alidou692f1ab8,Portland Thorns FC
Jessie Fleming,21,ca CAN,AM,27-096,90,0,0,0,0,3,0,2,1,0,0,0,0,2,1,1,50.0,692f1ab8,21Jessie Fleming692f1ab8,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-166,90,1,0,0,2,1,0,4,1,4,0,0,0,8,0,0,0.0,692f1ab8,17Sam Coffey692f1ab8,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-135,66,0,0,0,1,3,0,0,2,2,0,0,0,2,0,0,0.0,692f1ab8,8Hina Sugita692f1ab8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,DM,26-058,24,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0.0,692f1ab8,10Deyna Castellanos692f1ab8,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-119,90,0,0,0,1,4,0,2,0,0,0,0,0,3,2,0,100.0,692f1ab8,2Reyna Reyes692f1ab8,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-228,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0,692f1ab8,5Isabella Obaze692f1ab8,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-160,90,0,0,0,1,2,0,0,0,0,0,0,0,3,2,2,50.0,692f1ab8,16Samantha Hiatt692f1ab8,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-090,77,0,0,0,1,0,0,0,0,3,0,0,0,4,0,0,0.0,692f1ab8,20Kaitlyn Torpey692f1ab8,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-214,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,692f1ab8,29Mallie McKenzie692f1ab8,Portland Thorns FC
