Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,#,game_id,player_id,team_name
Bella Bixby,us USA,29-207,90,4,0,4,100.0,0.5,2,7,20,23,4,57.1,38.4,15,1,6.7,0,4.7,1,692f1ab8,1BellaBixby692f1ab8,Portland Thorns FC
Aubrey Kingsbury,us USA,33-207,90,6,2,4,66.7,2.6,1,1,25,30,6,0.0,29.0,18,1,5.6,0,13.0,1,692f1ab8,1AubreyKingsbury692f1ab8,Washington Spirit
