Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id,team_name
Mackenzie Arnold,au AUS,31-061,90,6,3,3,50.0,3.7,1,12,16.7,33,4,33.3,29.8,21,0,0.0,2,12.2,18,1c087799,18MackenzieArnold1c087799,Portland Thorns FC
Katie Lund,us USA,28-151,90,3,3,0,66.7,2.0,13,7,59.1,27,0,85.7,45.4,12,1,8.3,0,5.0,1,1c087799,1KatieLund1c087799,Racing Louisville
