player,JerseyNumber,nation,Pos,age,min,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,arial_duels_won,arial_duels_lost,arial_duels_won_pct,game_id,player_id,team_name
Pietra Tordin,19,us USA,FW,21-069,45,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,810cc4f5,19Pietra Tordin810cc4f5,Portland Thorns FC
Olivia Moultrie,13,us USA,AM,19-263,90,0,0,0,0,2,0,10,0,0,0,0,0,5,2,2,50.0,810cc4f5,13Olivia Moultrie810cc4f5,Portland Thorns FC
Hina Sugita,8,jp JPN,DM LB,28-127,90,0,0,0,2,2,0,4,1,2,0,0,0,5,3,0,100.0,810cc4f5,8Hina Sugita810cc4f5,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-158,90,0,0,0,3,0,0,3,3,2,0,0,0,5,0,1,0.0,810cc4f5,17Sam Coffey810cc4f5,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB RB,24-111,90,0,0,0,1,2,1,0,0,2,0,0,0,7,1,1,50.0,810cc4f5,2Reyna Reyes810cc4f5,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-107,90,0,0,0,1,2,0,0,2,0,0,0,0,4,0,0,0.0,810cc4f5,24Jayden Perry810cc4f5,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-152,90,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,75.0,810cc4f5,16Samantha Hiatt810cc4f5,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-082,77,0,0,0,1,0,0,1,0,1,0,0,0,7,2,0,100.0,810cc4f5,20Kaitlyn Torpey810cc4f5,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-088,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,810cc4f5,21Jessie Fleming810cc4f5,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-199,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,810cc4f5,1Bella Bixby810cc4f5,Portland Thorns FC
