Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,#,game_id,player_id,team_name
Mackenzie Arnold,au AUS,31-032,90,5,0,4,100,1.5,2,8,40,22,4,37.5,32,26,1,3.8,0,9,18,475a847a,18MackenzieArnold475a847a,Portland Thorns FC
Casey Murphy,us USA,28-338,90,2,0,2,100,0.2,4,11,66.7,33,5,27.3,33.7,15,1,6.7,0,12,1,475a847a,1CaseyMurphy475a847a,North Carolina Courage
