Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id
Kailen Sheridan,ca CAN,29-298,90,4,1,3,100.0,1.4,5,9,22.7,67,3,33.3,30.3,9,0,0,1,22.5,1,6a832d3c,1KailenSheridan6a832d3c
Bella Bixby,us USA,29-171,90,3,1,2,66.7,1.2,0,3,0.0,23,1,33.3,36.3,4,0,0,1,18.0,1,6a832d3c,1BellaBixby6a832d3c
