Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id,team_name
Abby Smith,us USA,31-224,90,7,4,3,57.1,2.7,4,7,50.0,26,4,42.9,29.3,8,0,0,0,,35,d2545219,35AbbySmithd2545219,Houston Dash
Bella Bixby,us USA,29-177,90,2,1,2,50.0,0.8,2,6,14.3,29,3,83.3,45.2,12,0,0,0,8.5,1,d2545219,1BellaBixbyd2545219,Portland Thorns FC
