Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id,team_name
Mackenzie Arnold,au AUS,31-056,90,3,1,2,66.7,1.2,2,3,28.6,27,3,100,49.3,18,1,5.6,2,16.4,18,414d2972,18MackenzieArnold414d2972,Portland Thorns FC
Ann-Katrin Berger,de GER,34-195,90,7,4,3,57.1,3.4,9,1,60,71,2,0,14,7,1,14.3,1,15.5,30,414d2972,30Ann-KatrinBerger414d2972,Gotham FC
