Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id,team_name
Lorena,br BRA,27-313,90,3,1,2,66.7,0.6,3,5,75,15,3,40.0,31.8,8,0,0.0,2,24.5,23,7239a666,23Lorena7239a666,Kansas City Current
Mackenzie Arnold,au AUS,31-018,90,6,3,3,50.0,2.1,3,7,30,37,7,71.4,36.4,12,1,8.3,0,11.2,18,7239a666,18MackenzieArnold7239a666,Portland Thorns FC
