Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id,team_name
Mackenzie Arnold,au AUS,31-024,90,5,1,4,80.0,0.7,6,8,40.0,24,2,62.5,37.9,14,0,0,0,12.0,18,7958f078,18MackenzieArnold7958f078,Portland Thorns FC
Angelina Anderson,us USA,23-364,90,9,1,8,88.9,1.6,3,10,16.7,36,4,80.0,51.3,12,0,0,3,24.2,19,7958f078,19AngelinaAnderson7958f078,Angel City FC
