Player,Nation,Age,Min,SoTA,GA,Saves,SavePct,PSxG,Cmp,PassAtt,CmpPct,GKAtt,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,OPA,AvgDist,JerseyNumber,game_id,player_id,team_name
Amanda McGlynn,us USA,26-159,90,2,1,1,50,1.2,2,12,18.2,34,5,50,32.1,4,0,0,3,23.8,1,fb58cf7f,1AmandaMcGlynnfb58cf7f,Utah Royals
Bella Bixby,us USA,29-142,90,1,0,1,100,0,4,15,20,25,1,60,42.8,9,0,0,2,25,1,fb58cf7f,1BellaBixbyfb58cf7f,Portland Thorns FC
